true_trial,false_trial,emotion,difficulty,trial,level
23,11,3,68.7423639,1,1
23,15,3,67.95430361,2,1
23,10,3,67.90037028,3,1
23,94,3,67.57818733,4,1
23,68,3,67.32057674,5,1
23,69,3,65.96713046,6,1
23,70,3,65.88724269,7,1
23,93,3,65.72923899,8,1
23,92,3,64.51657632,9,1
23,14,3,62.31650894,10,1
23,100,3,59.72555295,11,1
23,2,3,59.63641244,12,1
23,32,3,58.90788344,13,1
23,62,3,58.46022723,14,1
105,11,3,55.93231432,15,1
105,15,3,55.45811318,16,1
105,10,3,55.3962702,17,1
23,66,3,55.30892828,18,1
23,4,3,55.1053736,19,1
23,1,3,54.91435415,20,1
105,94,3,54.48800997,21,1
105,68,3,54.30452318,22,1
23,64,3,54.26917234,23,1
23,91,3,54.0116705,24,1
23,33,3,53.49013059,25,1
105,69,3,53.3507252,26,1
23,12,3,53.34970302,27,1
105,70,3,53.34223658,28,1
105,93,3,53.17900968,29,1
23,87,3,53.01510404,30,1
23,17,3,52.55108823,31,1
105,92,3,52.34288421,32,1
23,13,3,51.8364547,33,1
105,14,3,51.42339524,34,1
23,99,3,50.92197521,35,1
71,11,3,50.43651524,36,1
71,15,3,50.04455852,37,1
71,10,3,49.9901301,38,1
23,65,3,49.68865669,39,1
105,2,3,49.45306418,40,1
23,84,3,49.29819459,41,1
71,94,3,49.0996443,42,1
105,100,3,49.00415413,43,1
23,18,3,48.93460259,44,1
71,68,3,48.93270929,45,2
105,32,3,48.86034546,46,2
23,109,3,48.75574569,47,2
23,31,3,48.14445284,48,2
71,70,3,48.08957421,49,2
71,69,3,48.08826819,50,2
105,62,3,48.05720667,51,2
71,93,3,47.93134253,52,2
33,23,4,47.63304419,53,1
11,23,2,47.51864087,54,1
71,92,3,47.18913235,56,2
23,3,3,47.1840685,57,2
23,5,3,47.13385545,58,2
33,24,4,47.05274316,59,1
11,28,2,46.84953046,60,1
11,21,2,46.70373429,61,1
21,11,3,46.57933512,62,2
11,49,2,46.44552055,63,1
71,14,3,46.43969505,64,2
21,15,3,46.32710697,65,2
21,10,3,46.2693885,66,2
11,41,2,46.25054708,67,1
105,4,3,46.10863652,68,2
23,90,3,46.10331627,69,2
105,1,3,45.9140976,70,2
105,66,3,45.80556984,71,2
23,95,3,45.18312633,72,2
21,94,3,45.08990984,73,2
105,64,3,45.07036468,74,2
23,8,3,44.954931,75,2
21,68,3,44.94631844,76,2
23,86,3,44.90943782,77,2
105,33,3,44.86440408,78,2
11,43,2,44.81831632,79,1
105,91,3,44.77966946,80,2
11,27,2,44.77132838,81,1
71,2,3,44.68057635,82,2
105,12,3,44.67381553,83,2
11,47,2,44.60979693,84,1
11,24,2,44.60002862,85,1
109,23,4,44.509271,86,1
33,21,4,44.40315781,87,1
21,70,3,44.28099041,88,2
21,69,3,44.24663061,89,2
71,100,3,44.23417221,90,2
11,25,2,44.21091772,91,1
105,17,3,44.19340821,92,2
23,63,3,44.14732959,93,2
71,32,3,44.11210696,94,2
21,93,3,44.11004105,95,2
105,87,3,44.05400017,96,2
