"items.a","items.b","items.g","items.u","means","F1"
1,1.73699107774567,0.5,1,0,0.675394677839045
1,-2.76512430867754,0.5,1,0,0.675394677839045
1,-2.17102311762701,0.5,1,0,0.675394677839045
1,-3.34707970462976,0.5,1,0,0.675394677839045
1,-2.07872505770362,0.5,1,0,0.675394677839045
1,-1.63593272275179,0.5,1,0,0.675394677839045
1,-2.22596078564795,0.5,1,0,0.675394677839045
1,0.0676571973392873,0.5,1,0,0.675394677839045
1,-1.59160585359609,0.5,1,0,0.675394677839045
1,-1.52660922063215,0.5,1,0,0.675394677839045
1,-2.06918785629619,0.5,1,0,0.675394677839045
1,-1.79902737957476,0.5,1,0,0.675394677839045
1,-0.818052851715829,0.5,1,0,0.675394677839045
1,-1.79752898965533,0.5,1,0,0.675394677839045
1,1.07039998061034,0.5,1,0,0.675394677839045
1,-2.27749180294038,0.5,1,0,0.675394677839045
1,-0.521940096425277,0.5,1,0,0.675394677839045
1,-2.84755905710226,0.5,1,0,0.675394677839045
1,2.22113414742403,0.5,1,0,0.675394677839045
1,0.50219156758795,0.5,1,0,0.675394677839045
1,0.0295094754680751,0.5,1,0,0.675394677839045
1,0.0993820606749201,0.5,1,0,0.675394677839045
1,-0.109901941648712,0.5,1,0,0.675394677839045
1,-0.70840732635146,0.5,1,0,0.675394677839045
1,1.09296124933795,0.5,1,0,0.675394677839045
1,-0.134043519875315,0.5,1,0,0.675394677839045
1,-0.644964803359908,0.5,1,0,0.675394677839045
1,-0.107684762026038,0.5,1,0,0.675394677839045
1,-0.583746513947051,0.5,1,0,0.675394677839045
1,-1.10189719579696,0.5,1,0,0.675394677839045
1,2.70714668928883,0.5,1,0,0.675394677839045
1,-2.34033533915612,0.5,1,0,0.675394677839045
1,-1.0159493997742,0.5,1,0,0.675394677839045
1,-2.34033533915612,0.5,1,0,0.675394677839045
1,-0.833654761626462,0.5,1,0,0.675394677839045
1,-4.54163464396577,0.5,1,0,0.675394677839045
1,-2.52169857409829,0.5,1,0,0.675394677839045
1,-4.54163464396577,0.5,1,0,0.675394677839045
1,-0.111745749358334,0.5,1,0,0.675394677839045
1,-2.0775313024272,0.5,1,0,0.675394677839045
1,-1.70133446074609,0.5,1,0,0.675394677839045
1,-2.23280789599245,0.5,1,0,0.675394677839045
1,0.0307965959277708,0.5,1,0,0.675394677839045
1,-2.11720288084831,0.5,1,0,0.675394677839045
1,-2.10586412755425,0.5,1,0,0.675394677839045
1,-2.6132955844549,0.5,1,0,0.675394677839045
1,-0.0436634859734336,0.5,1,0,0.675394677839045
1,-3.45241977535266,0.5,1,0,0.675394677839045
1,-2.86245920254553,0.5,1,0,0.675394677839045
1,-3.90142559393052,0.5,1,0,0.675394677839045
1,-1.55264083640472,0.5,1,0,0.675394677839045
1,-2.85067342953099,0.5,1,0,0.675394677839045
1,-1.46765503203874,0.5,1,0,0.675394677839045
1,-2.85067342953099,0.5,1,0,0.675394677839045
1,1.72194876691815,0.5,1,0,0.675394677839045
1,0.319680681425549,0.5,1,0,0.675394677839045
1,1.38568843162323,0.5,1,0,0.675394677839045
1,-0.118307633533484,0.5,1,0,0.675394677839045
1,1.7955614284322,0.5,1,0,0.675394677839045
1,0.385191412667431,0.5,1,0,0.675394677839045
1,0.584974513810028,0.5,1,0,0.675394677839045
1,4.24335243169969,0.5,1,0,0.675394677839045
1,0.333613739642952,0.5,1,0,0.675394677839045
1,-0.231532463341858,0.5,1,0,0.675394677839045
1,-0.589039067690693,0.5,1,0,0.675394677839045
1,-1.92576147494563,0.5,1,0,0.675394677839045
1,-1.963279132994,0.5,1,0,0.675394677839045
1,-2.52477753796409,0.5,1,0,0.675394677839045
1,-2.74051076605487,0.5,1,0,0.675394677839045
1,-2.37335986502814,0.5,1,0,0.675394677839045
1,-3.0652383098425,0.5,1,0,0.675394677839045
1,-3.3691372301175,0.5,1,0,0.675394677839045
1,-3.83026356827753,0.5,1,0,0.675394677839045
1,-4.55782478793777,0.5,1,0,0.675394677839045
1,-3.37789428394692,0.5,1,0,0.675394677839045
1,-3.83161092038402,0.5,1,0,0.675394677839045
1,-3.38879047073187,0.5,1,0,0.675394677839045
1,-2.38360027125533,0.5,1,0,0.675394677839045
1,-0.616516336047456,0.5,1,0,0.675394677839045
1,-1.70270870168006,0.5,1,0,0.675394677839045
1,-0.622454215249834,0.5,1,0,0.675394677839045
1,-0.233493748821385,0.5,1,0,0.675394677839045
1,-4.56919459909461,0.5,1,0,0.675394677839045
1,-4.56919459909461,0.5,1,0,0.675394677839045
1,-2.24355161974323,0.5,1,0,0.675394677839045
1,-1.50396518022533,0.5,1,0,0.675394677839045
1,-3.0717378892776,0.5,1,0,0.675394677839045
1,-3.0717378892776,0.5,1,0,0.675394677839045
1,-0.624717721971408,0.5,1,0,0.675394677839045
1,0.306951132968298,0.5,1,0,0.675394677839045
1,-2.8310409972237,0.5,1,0,0.675394677839045
1,-1.96471820676134,0.5,1,0,0.675394677839045
1,0.504885902106228,0.5,1,0,0.675394677839045
1,0.98715201622331,0.5,1,0,0.675394677839045
1,-1.99866919485377,0.5,1,0,0.675394677839045
1,-1.86176903236814,0.5,1,0,0.675394677839045
1,0.850992164310142,0.5,1,0,0.675394677839045
1,1.65512850017928,0.5,1,0,0.675394677839045
1,-2.82331295044417,0.5,1,0,0.675394677839045
1,-2.40804249801382,0.5,1,0,0.675394677839045
1,-2.28136017803008,0.5,1,0,0.675394677839045
1,0.118833723706476,0.5,1,0,0.675394677839045
1,0.940574320981133,0.5,1,0,0.675394677839045
1,1.5741364411557,0.5,1,0,0.675394677839045
1,-1.65108691837445,0.5,1,0,0.675394677839045
1,-0.762177391106004,0.5,1,0,0.675394677839045
1,-2.81350722919782,0.5,1,0,0.675394677839045
1,-3.8373034510675,0.5,1,0,0.675394677839045
1,-1.34804734807832,0.5,1,0,0.675394677839045
1,-1.73440597989327,0.5,1,0,0.675394677839045
1,-1.07535290986868,0.5,1,0,0.675394677839045
1,-1.14951656976215,0.5,1,0,0.675394677839045
1,0.504682870287987,0.5,1,0,0.675394677839045
1,0.700487248581317,0.5,1,0,0.675394677839045
1,0.119546022578477,0.5,1,0,0.675394677839045
1,-0.442192711647765,0.5,1,0,0.675394677839045
1,-0.0190704543192416,0.5,1,0,0.675394677839045
1,-1.12666317206555,0.5,1,0,0.675394677839045
1,0.269160283282663,0.5,1,0,0.675394677839045
1,-1.19617621897781,0.5,1,0,0.675394677839045
1,-0.498835671800898,0.5,1,0,0.675394677839045
1,-0.0638509648291783,0.5,1,0,0.675394677839045
1,1.54596563479703,0.5,1,0,0.675394677839045
1,-1.17421908974272,0.5,1,0,0.675394677839045
1,0.871182739147533,0.5,1,0,0.675394677839045
1,-0.824605639234228,0.5,1,0,0.675394677839045
1,0.829169595139154,0.5,1,0,0.675394677839045
1,-3.45324602632805,0.5,1,0,0.675394677839045
1,-2.45212852493677,0.5,1,0,0.675394677839045
1,-0.841132735147349,0.5,1,0,0.675394677839045
1,-2.18509280359132,0.5,1,0,0.675394677839045
1,-1.02877155367541,0.5,1,0,0.675394677839045
1,-0.206836842287878,0.5,1,0,0.675394677839045
1,-3.87262678219045,0.5,1,0,0.675394677839045
1,-3.10730944392163,0.5,1,0,0.675394677839045
1,-0.375722513718524,0.5,1,0,0.675394677839045
