Labels,TargetEmo,ComparisonEmo,TrialNum,Track110
Angry-Fearful,1,2,1,1
Angry-Happy,1,3,2,1
Angry-Sad,1,4,3,1
Angry-Tender,1,5,4,1
Fearful-Happy,2,3,5,2
Fearful-Sad,2,4,6,2
Fearful-Tender,2,5,7,2
Angry-Fearful,1,2,8,3
Angry-Happy,1,3,9,3
Angry-Sad,1,4,10,3
Angry-Tender,1,5,11,3
Angry-Happy,1,3,12,4
Angry-Sad,1,4,13,4
Angry-Tender,1,5,14,4
Angry-Fearful,1,2,15,5
Angry-Happy,1,3,16,5
Angry-Sad,1,4,17,5
Angry-Tender,1,5,18,5
Angry-Happy,1,3,19,6
Angry-Sad,1,4,20,6
Angry-Tender,1,5,21,6
Angry-Happy,1,3,22,7
Angry-Sad,1,4,23,7
Angry-Tender,1,5,24,7
Sad-Fearful,4,2,25,8
Sad-Happy,4,3,26,8
Sad-Tender,4,5,27,8
Angry-Happy,1,3,28,9
Angry-Sad,1,4,29,9
Angry-Tender,1,5,30,9
Fearful-Angry,2,1,31,10
Fearful-Happy,2,3,32,10
Fearful-Sad,2,4,33,10
Fearful-Tender,2,5,34,10
Fearful-Angry,2,1,35,11
Fearful-Happy,2,3,36,11
Fearful-Sad,2,4,37,11
Fearful-Tender,2,5,38,11
Fearful-Angry,2,1,39,12
Fearful-Happy,2,3,40,12
Fearful-Sad,2,4,41,12
Fearful-Tender,2,5,42,12
Fearful-Angry,2,1,43,13
Fearful-Happy,2,3,44,13
Fearful-Sad,2,4,45,13
Fearful-Tender,2,5,46,13
Fearful-Angry,2,1,47,14
Fearful-Happy,2,3,48,14
Fearful-Sad,2,4,49,14
Fearful-Tender,2,5,50,14
Fearful-Angry,2,1,51,15
Fearful-Happy,2,3,52,15
Fearful-Sad,2,4,53,15
Fearful-Tender,2,5,54,15
Fearful-Angry,2,1,55,16
Fearful-Happy,2,3,56,16
Fearful-Sad,2,4,57,16
Fearful-Tender,2,5,58,16
Fearful-Angry,2,1,59,19
Fearful-Happy,2,3,60,19
Fearful-Tender,2,5,61,19
Angry-Fearful,1,2,62,20
Angry-Happy,1,3,63,20
Angry-Sad,1,4,64,20
Angry-Tender,1,5,65,20
Happy-Tender,3,5,66,21
Happy-Angry,3,1,67,22
Happy-Fearful,3,2,68,22
Happy-Sad,3,4,69,22
Happy-Tender,3,5,70,22
Happy-Tender,3,5,71,23
Happy-Angry,3,1,72,24
Happy-Fearful,3,2,73,24
Happy-Sad,3,4,74,24
Happy-Tender,3,5,75,24
Happy-Angry,3,1,76,25
Happy-Fearful,3,2,77,25
Happy-Sad,3,4,78,25
Happy-Tender,3,5,79,25
Tender-Angry,5,1,80,26
Tender-Fearful,5,2,81,26
Tender-Sad,5,4,82,26
Happy-Angry,3,1,83,27
Happy-Fearful,3,2,84,27
