Label,Name,TargetEmo,ComparisonEmo,PercentageCorrect,PercentageFalse,Distance,Ttest,Label1,Label2,Soundtrack,Level,Trials
happy anger,23,8.2089552238806,1.04477611940298,1,0,44.7779330824821,44.7779330824821,2,1,Shallow Grave,1,1
happy sad,23,8.2089552238806,1.1044776119403,1,0,42.3799770523813,42.3799770523813,2,3,Shallow Grave,1,2
happy tender,23,8.2089552238806,1.44776119402985,1,0,33.8731487569371,33.8731487569371,2,4,Shallow Grave,1,3
happy anger,21,6.62686567164179,1,1,0,29.4278810762533,29.4278810762533,2,1,The Rainmaker,1,4
happy anger,105,7.85106382978723,1,1,0,29.0852132109684,29.0852132109684,2,1,Pride & Prejudice,2,5
happy anger,71,6.8936170212766,1.02127659574468,1,0,27.1378713337954,27.1378713337954,2,1,The Untouchables,2,6
happy sad,105,7.85106382978723,1.19148936170213,1,0,27.1007043212284,27.1007043212284,2,3,Pride & Prejudice,2,7
happy sad,21,6.62686567164179,1.11940298507463,1,0,27.0917259297314,27.0917259297314,2,3,The Rainmaker,2,8
happy sad,71,6.8936170212766,1.1063829787234,1,0,26.9262750175914,26.9262750175914,2,3,The Untouchables,3,9
sad anger,33,7.17910447761194,1.07462686567164,1,0,26.8679624613815,26.8679624613815,3,1,The Portait of a Lady,1,10
sad happy,33,7.17910447761194,1.11940298507463,0.985074626865672,0,26.243662187544,26.243662187544,3,2,The Portait of a Lady,1,11
happy tender,105,7.85106382978723,1.4468085106383,1,0,24.0490697829327,24.0490697829327,2,4,Pride & Prejudice,3,12
happy sad,24,6.94029850746269,1.08955223880597,0.985074626865672,0,23.8322993985821,23.8322993985821,2,3,Man of Galilee CD1,3,13
happy anger,25,6.28358208955224,1.08955223880597,0.985074626865672,0,23.3673971746387,23.3673971746387,2,1,Oliwer Twist,3,14
sad happy,109,7,1.02127659574468,1,0,23.2488030925916,23.2488030925916,3,2,Pride & Prejudice,1,15
happy anger,27,6.26865671641791,1.08955223880597,0.985074626865672,0,22.9167631507353,22.9167631507353,2,1,Oliwer Twist,4,16
