ID;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23;t24;t25;t26;t27;t28;t29;t30;t1p2;t2p2;t3p2;t4p2;t5p2;t6p2;t7p2;t8p2;t9p2;t10p2;t11p2;t12p2;t13p2;t14p2;t15p2;t16p2;t17p2;t18p2;t19p2;t20p2;t21p2;t22p2;t23p2;t24p2;t25p2;t26p2;t27p2;t28p2;t29p2;t30p2;difficulty_t1;difficulty_t2;difficulty_t3;difficulty_t4;difficulty_t5;difficulty_t6;difficulty_t7;difficulty_t8;difficulty_t9;difficulty_t10;difficulty_t11;difficulty_t12;difficulty_t13;difficulty_t14;difficulty_t15;difficulty_t16;difficulty_t17;difficulty_t18;difficulty_t19;difficulty_t20;difficulty_t21;difficulty_t22;difficulty_t23;difficulty_t24;difficulty_t25;difficulty_t26;difficulty_t27;difficulty_t28;difficulty_t29;difficulty_t30;difficulty_t1p2;difficulty_t2p2;difficulty_t3p2;difficulty_t4p2;difficulty_t5p2;difficulty_t6p2;difficulty_t7p2;difficulty_t8p2;difficulty_t9p2;difficulty_t10p2;difficulty_t11p2;difficulty_t12p2;difficulty_t13p2;difficulty_t14p2;difficulty_t15p2;difficulty_t16p2;difficulty_t17p2;difficulty_t18p2;difficulty_t19p2;difficulty_t20p2;difficulty_t21p2;difficulty_t22p2;difficulty_t23p2;difficulty_t24p2;difficulty_t25p2;difficulty_t26p2;difficulty_t27p2;difficulty_t28p2;difficulty_t29p2;difficulty_t30p2;lvl_achieved_t1;lvl_achieved_t2;lvl_achieved_t3;lvl_achieved_t4;lvl_achieved_t5;lvl_achieved_t6;lvl_achieved_t7;lvl_achieved_t8;lvl_achieved_t9;lvl_achieved_t10;lvl_achieved_t11;lvl_achieved_t12;lvl_achieved_t13;lvl_achieved_t14;lvl_achieved_t15;lvl_achieved_t16;lvl_achieved_t17;lvl_achieved_t18;lvl_achieved_t19;lvl_achieved_t20;lvl_achieved_t21;lvl_achieved_t22;lvl_achieved_t23;lvl_achieved_t24;lvl_achieved_t25;lvl_achieved_t26;lvl_achieved_t27;lvl_achieved_t28;lvl_achieved_t29;lvl_achieved_t30;lvl_achieved_t1p2;lvl_achieved_t2p2;lvl_achieved_t3p2;lvl_achieved_t4p2;lvl_achieved_t5p2;lvl_achieved_t6p2;lvl_achieved_t7p2;lvl_achieved_t8p2;lvl_achieved_t9p2;lvl_achieved_t10p2;lvl_achieved_t11p2;lvl_achieved_t12p2;lvl_achieved_t13p2;lvl_achieved_t14p2;lvl_achieved_t15p2;lvl_achieved_t16p2;lvl_achieved_t17p2;lvl_achieved_t18p2;lvl_achieved_t19p2;lvl_achieved_t20p2;lvl_achieved_t21p2;lvl_achieved_t22p2;lvl_achieved_t23p2;lvl_achieved_t24p2;lvl_achieved_t25p2;lvl_achieved_t26p2;lvl_achieved_t27p2;lvl_achieved_t28p2;lvl_achieved_t29p2;lvl_achieved_t30p2;how difficult;trial_num_t1;trial_num_t2;trial_num_t3;trial_num_t4;trial_num_t5;trial_num_t6;trial_num_t7;trial_num_t8;trial_num_t9;trial_num_t10;trial_num_t11;trial_num_t12;trial_num_t13;trial_num_t14;trial_num_t15;trial_num_t16;trial_num_t17;trial_num_t18;trial_num_t19;trial_num_t20;trial_num_t21;trial_num_t22;trial_num_t23;trial_num_t24;trial_num_t25;trial_num_t26;trial_num_t27;trial_num_t28;trial_num_t29;trial_num_t30;trial_num_t1p2;trial_num_t2p2;trial_num_t3p2;trial_num_t4p2;trial_num_t5p2;trial_num_t6p2;trial_num_t7p2;trial_num_t8p2;trial_num_t9p2;trial_num_t10p2;trial_num_t11p2;trial_num_t12p2;trial_num_t13p2;trial_num_t14p2;trial_num_t15p2;trial_num_t16p2;trial_num_t17p2;trial_num_t18p2;trial_num_t19p2;trial_num_t20p2;trial_num_t21p2;trial_num_t22p2;trial_num_t23p2;trial_num_t24p2;trial_num_t25p2;trial_num_t26p2;trial_num_t27p2;trial_num_t28p2;trial_num_t29p2;trial_num_t30p2;
298;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;22,85731243;22,19409931;11,48812192;8,133149919;9,598088666;5,070044027;8,141487826;7,739520765;4,860564175;12,88316078;8,043420931;6,5326703;4,455549992;3,80186006;3,93169242;1,841044174;3,514175838;2,340126167;0,814753571;6,508689337;4,297705879;3,879144505;4,970027733;3,310140104;1,205780633;2,661554715;0,707277642;6,713555221;7,133299822;9,358679556;26,24366219;13,50655272;11,75070325;11,96923647;5,723902302;6,635092135;6,629219705;3,719048267;2,792653689;5,070044027;4,340833943;6,023201586;5,002174425;0,754844189;0,573211504;6,5326703;4,455549992;3,52441668;1,215617616;7,642338513;5,286163122;3,80186006;6,352919468;1,841044174;4,393976319;1,409539868;6,098179517;4,297705879;3,17307367;7,901379637;1;4;7;9;11;0;9;11;0;9;11;12;13;14;15;16;16;16;0;12;13;14;15;16;16;16;0;0;9;0;1;4;7;9;11;12;13;14;0;12;13;14;15;16;0;12;13;14;0;12;13;14;15;16;16;0;12;13;0;11;31;17;18;101;159;130;217;158;168;220;84;163;194;226;235;233;256;239;252;262;195;230;234;219;241;260;248;264;190;186;135;11;75;97;92;211;191;192;237;246;217;229;206;218;263;266;194;226;238;259;171;215;235;199;256;228;258;205;230;242;164;
301;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;19,76578893;21,62778507;9,963032689;9,230491344;8,835291153;4,860564175;6,629219705;4,223950144;2,454941541;2,661554715;4,794406606;9,285624036;8,043420931;8,54078356;4,520046765;3,52441668;2,864494979;7,223695877;7,464296063;4,43327811;1,215617616;8,833333333;4,705735225;5,810593504;5,5852929;0,543068431;6,635092135;7,233434159;6,559446998;7,901379637;20,40953156;19,76578893;13,14236159;14,87879038;8,302165137;8,835291153;5,070044027;9,230491344;7,430938488;7,642338513;4,071622686;3,719048267;4,694323857;2,661554715;1,533041606;4,794406606;4,520046765;9,62857407;6,098179517;6,629219705;3,80186006;8,043420931;8,833333333;5,807570392;3,740025885;7,658387228;13,2236668;9,19334492;6,713555221;4,340833943;1;4;7;9;11;12;13;14;15;0;0;9;11;12;13;14;0;12;13;14;0;12;13;14;15;0;12;13;0;11;0;1;4;7;9;11;0;9;11;12;13;14;15;16;0;12;0;10;12;13;0;11;12;13;0;0;8;10;12;0;34;27;19;124;138;144;220;192;231;250;248;221;136;163;150;225;238;245;184;176;227;259;145;222;208;212;267;191;182;193;164;24;27;82;64;154;144;217;138;178;171;232;237;223;248;257;221;225;129;205;192;235;163;145;210;236;170;79;139;190;229;
302;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;19,58674574;23,36739717;11,6977261;7,601396036;7,739520765;8,54078356;4,297705879;3,52441668;5,002174425;0,543068431;1,205780633;2,417263467;2,026342059;7,456960922;7,233434159;3,80186006;3,93169242;0,814753571;6,098179517;6,629219705;3,740025885;2,281504582;6,713555221;7,575273834;4,223950144;9,513022736;5,070044027;6,317417923;3,17307367;5,5852929;20,77816782;15,44504942;16,24332667;7,133299822;5,228343733;6,635092135;5,286163122;6,480010431;4,970027733;1,088476951;7,223695877;4,297705879;10,92370493;6,508689337;6,319334886;5,810593504;4,694323857;2,417263467;1,409539868;4,860564175;7,233434159;3,80186006;2,093927734;7,233434159;4,525068696;4,43327811;9,598088666;5,070044027;9,543338855;8,835291153;1;4;7;9;11;12;13;14;15;16;16;16;0;12;13;14;15;0;12;13;14;0;12;13;0;11;12;13;14;15;1;4;7;9;11;12;13;14;15;0;12;0;10;12;13;14;15;16;0;12;13;14;0;12;13;0;11;0;9;11;22;30;14;99;173;168;150;230;238;218;267;260;251;255;177;182;235;233;262;205;192;236;253;190;174;231;132;217;201;242;212;22;57;48;186;216;191;215;196;219;261;184;230;112;195;200;208;223;251;258;220;182;235;254;183;224;227;130;217;131;144;
307;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;19,76578893;15,44504942;14,87879038;8,141487826;9,358679556;8,767823074;9,126720613;6,713555221;6,317417923;3,879144505;6,352919468;0,573211504;2,026342059;0,754844189;5,070044027;6,319334886;6,888404296;2,741322944;4,393976319;0,814753571;7,642338513;6,629219705;3,17307367;2,792653689;4,794406606;5,286163122;6,023201586;5,453614111;8,833333333;5,807570392;22,85731243;15,31897357;9,963032689;11,96923647;7,901379637;6,508689337;12,88316078;5,808699273;6,635092135;7,464296063;3,80186006;5,5852929;3,514175838;0,543068431;0,754844189;6,098179517;6,319334886;3,366513699;6,352919468;0,573211504;2,661554715;1,088476951;4,393976319;0,814753571;1,205780633;7,642338513;4,455549992;3,740025885;2,864494979;1,409539868;1;4;7;9;0;8;10;12;13;14;15;16;16;0;12;13;14;15;16;0;12;13;14;0;12;13;14;0;12;13;1;4;7;9;11;0;9;11;12;13;14;15;16;16;0;12;13;14;15;16;16;16;16;16;0;12;13;14;15;16;66;27;57;64;158;135;146;141;190;201;234;199;266;255;263;217;200;188;247;228;262;171;192;242;246;221;215;206;213;145;210;17;60;124;92;164;195;84;209;191;176;235;212;239;267;263;205;200;240;199;266;248;261;228;262;260;171;226;236;245;258;
309;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;20,40953156;23,36739717;9,757148552;7,601396036;8,043420931;4,860564175;7,233434159;4,43327811;8,272170211;6,5326703;4,340833943;9,62857407;7,223695877;4,520046765;6,480010431;7,50093932;6,508689337;4,071622686;11,75639819;7,456960922;5,807570392;9,19334492;5,070044027;13,15142578;8,835291153;7,642338513;5,286163122;3,740025885;5,378679859;6,635092135;18,73091325;15,31897357;16,24332667;8,302165137;9,513022736;4,794406606;6,629219705;3,879144505;2,792653689;4,860564175;12,88316078;8,043420931;6,5326703;6,317417923;6,888404296;2,741322944;0,543068431;7,223695877;4,455549992;6,480010431;6,352919468;2,026342059;3,310140104;0,814753571;0,754844189;4,393976319;6,713555221;4,520046765;3,740025885;2,471383177;1;4;7;9;11;12;13;0;11;12;0;10;12;13;0;11;12;0;10;12;0;10;0;9;11;12;13;0;11;12;1;4;7;9;11;12;13;14;0;0;9;11;12;13;14;15;0;12;13;14;15;16;16;16;16;0;12;13;14;15;0;24;14;127;173;163;220;182;227;155;194;229;129;184;225;196;175;195;232;96;177;210;139;217;81;144;171;215;236;214;191;37;60;48;154;132;221;192;234;246;220;84;163;194;201;188;247;267;184;226;196;199;255;241;262;263;228;190;225;236;249;
311;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;20,77816782;22,19409931;11,75070325;7,133299822;9,757148552;13,88534798;13,4666562;6,445404846;8,345754434;10,92370493;7,456960922;5,807570392;6,38745443;5,5852929;0,684157768;4,794406606;7,575273834;6,288953809;2,281504582;5,070044027;4,297705879;4,223950144;5,002174425;2,417263467;8,54078356;6,629219705;6,727142749;6,635092135;6,319334886;6,559446998;33,87314876;15,31897357;9,762130152;8,133149919;8,835291153;6,508689337;4,525068696;5,810593504;3,025535147;7,233434159;4,520046765;11,43541069;7,456960922;7,233434159;3,366513699;1,215617616;6,098179517;5,286163122;3,740025885;4,970027733;5,070044027;4,071622686;3,52441668;2,281504582;1,841044174;2,417263467;4,860564175;4,455549992;8,08505454;7,347013957;1;4;7;0;0;5;8;0;8;10;12;13;14;15;0;12;13;14;0;12;13;14;15;0;12;0;10;12;13;14;1;4;7;9;11;12;13;14;0;12;0;10;12;13;14;0;12;13;14;0;12;13;14;15;16;0;12;0;10;12;73;22;18;97;186;127;71;76;197;153;112;177;210;198;212;265;221;174;202;253;217;230;231;218;251;150;192;189;191;200;193;3;60;126;159;144;195;224;208;244;183;225;104;177;182;240;259;205;215;236;219;217;232;238;253;256;251;220;226;162;179;
312;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;20,40953156;11,99534655;9,963032689;20,43071598;14,32329829;8,08505454;4,860564175;6,319334886;3,740025885;2,454941541;7,347013957;7,464296063;6,888404296;3,121903282;4,794406606;6,317417923;4,223950144;8,272170211;5,070044027;7,575273834;6,559446998;5,378679859;6,713555221;9,230491344;5,808699273;7,642338513;4,705735225;6,023201586;3,025535147;4,393976319;18,73091325;15,4618126;16,21584591;8,507467837;5,723902302;8,54078356;6,629219705;7,735426469;6,635092135;12,88316078;8,043420931;8,201181393;9,62857407;7,347013957;8,141487826;5,228343733;4,860564175;7,233434159;5,810593504;7,612513932;8,833333333;6,319334886;6,727142749;6,098179517;8,302165137;5,808699273;7,642338513;6,317417923;3,17307367;5,5852929;1;4;0;5;8;10;12;13;14;0;12;13;14;0;12;13;0;11;12;13;0;11;0;9;11;12;13;14;15;0;1;4;7;9;11;12;0;10;0;9;0;8;10;0;9;11;12;13;0;11;12;0;10;0;9;11;12;13;14;15;70;24;90;124;23;68;162;220;200;236;250;179;176;188;243;221;201;231;155;217;174;193;214;190;138;209;171;222;206;244;228;37;56;49;151;211;150;192;169;191;84;163;157;129;179;158;216;220;182;208;172;145;200;189;205;154;209;171;201;242;212;
313;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;21,50357646;15,05376222;11,48812192;12,88316078;5,378679859;7,347013957;7,464296063;8,08505454;7,456960922;7,575273834;3,366513699;3,025535147;4,393976319;2,417263467;1,088476951;4,860564175;7,233434159;3,17307367;2,741322944;3,514175838;3,310140104;0,684157768;8,251807527;4,520046765;4,43327811;5,808699273;8,833333333;6,629219705;6,888404296;1,215617616;20,77816782;13,50655272;16,21584591;9,230491344;7,50093932;5,070044027;4,455549992;5,810593504;2,864494979;1,841044174;0,754844189;1,533041606;7,456960922;4,297705879;3,80186006;2,281504582;7,347013957;4,071622686;6,559446998;2,741322944;0,543068431;3,310140104;2,340126167;0,684157768;8,251807527;5,807570392;3,17307367;5,453614111;4,393976319;2,026342059;1;4;7;9;11;12;0;10;12;13;14;15;16;16;0;12;13;14;15;16;16;0;12;13;0;11;12;13;14;15;1;4;7;9;11;12;13;14;15;16;16;0;12;13;14;0;12;13;14;15;16;16;16;0;12;13;14;15;16;0;20;21;62;101;84;214;179;176;162;177;174;240;244;228;251;261;220;182;242;247;239;241;265;156;225;227;209;145;192;188;259;22;75;49;138;175;217;226;208;245;256;263;257;177;230;235;253;179;232;193;247;267;241;252;265;156;210;242;213;228;255;
319;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;18,73091325;15,31897357;9,762130152;8,302165137;8,043420931;4,860564175;5,807570392;6,559446998;7,739520765;5,070044027;7,575273834;3,366513699;3,93169242;0,573211504;3,310140104;0,684157768;1,409539868;7,347013957;4,297705879;6,38745443;2,741322944;1,841044174;2,340126167;4,794406606;4,455549992;3,740025885;4,970027733;7,456960922;7,464296063;9,19334492;19,92170034;13,7113092;16,21584591;7,133299822;5,723902302;6,508689337;6,629219705;4,223950144;2,792653689;2,661554715;4,860564175;6,317417923;3,80186006;5,453614111;4,393976319;1,088476951;0,543068431;1,533041606;8,251807527;6,319334886;3,879144505;1,215617616;6,5326703;7,575273834;6,38745443;3,121903282;1,841044174;0,814753571;7,223695877;4,455549992;1;4;7;9;11;12;13;0;11;12;13;14;15;16;16;16;0;12;13;14;15;16;0;12;13;14;0;12;0;10;1;4;7;9;11;12;13;14;15;0;12;13;14;15;16;16;16;0;12;13;14;0;12;13;14;15;16;0;12;0;23;37;60;126;154;163;220;210;193;168;217;174;240;233;266;241;265;258;179;230;198;247;256;252;221;226;236;219;177;176;139;25;74;49;186;211;195;192;231;246;248;220;201;235;213;228;261;267;257;156;200;234;259;194;174;198;243;256;262;184;226;
320;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;20,40953156;11,99534655;10,22590271;11,96923647;7,50093932;4,794406606;6,317417923;6,559446998;4,970027733;1,841044174;0,814753571;6,713555221;4,071622686;5,810593504;5,453614111;1,205780633;7,642338513;5,869315545;3,740025885;4,694323857;2,661554715;0,707277642;4,393976319;6,098179517;4,297705879;9,126720613;4,860564175;4,455549992;3,80186006;5,002174425;33,87314876;11,9421175;11,75070325;8,141487826;7,901379637;6,508689337;4,340833943;6,480010431;7,430938488;7,233434159;7,133299822;9,513022736;4,794406606;7,575273834;3,17307367;2,093927734;0,814753571;8,251807527;4,525068696;5,810593504;3,121903282;2,340126167;6,5326703;6,319334886;6,288953809;2,454941541;8,833333333;4,297705879;6,023201586;2,741322944;1;4;7;9;11;12;13;14;15;16;0;12;13;14;15;0;12;13;14;15;16;16;0;12;0;10;12;13;14;15;1;4;7;9;11;12;13;0;11;0;9;11;12;13;14;15;0;12;13;14;15;0;12;13;14;0;12;13;14;15;9;24;90;118;92;175;221;201;193;219;256;262;190;232;208;213;260;171;207;236;223;248;264;228;205;230;141;220;226;235;218;3;93;97;158;164;195;229;196;178;183;186;132;221;174;242;254;262;156;224;208;243;252;194;200;202;250;145;230;206;247;
